Entity,Code,AvgTemp
Afghanistan,AFG,12.358947024999999
Albania,ALB,13.342274191666666
Algeria,DZA,24.726197416666665
American Samoa,ASM,26.994466083333332
Andorra,AND,5.845052075
Angola,AGO,22.629383666666666
Anguilla,AIA,26.48307283333333
Antigua and Barbuda,ATG,26.460612083333334
Argentina,ARG,15.251496666666666
Armenia,ARM,7.103250516666667
Australia,AUS,22.580719666666667
Austria,AUT,7.716935516666666
Azerbaijan,AZE,12.649591058333334
Bahamas,BHS,26.114348416666665
Bahrain,BHR,26.601399666666666
Bangladesh,BGD,25.394575833333334
Belarus,BLR,9.106810016666666
Belgium,BEL,11.546821383333333
Belize,BLZ,26.456218333333332
Benin,BEN,27.868416333333332
Bhutan,BTN,8.556715028333333
Bolivia,BOL,21.083227416666666
Bosnia and Herzegovina,BIH,11.114944158333333
Botswana,BWA,22.03041925
Brazil,BRA,25.193412
Brunei,BRN,26.870919999999998
Bulgaria,BGR,12.335101125
Burkina Faso,BFA,28.985501666666668
Burundi,BDI,21.340369250000002
Cambodia,KHM,27.731823333333335
Cameroon,CMR,25.168077833333335
Canada,CAN,-3.5554604666666663
Cape Verde,CPV,23.168567916666667
Cayman Islands,CYM,27.309082166666666
Central African Republic,CAF,26.598980416666667
Chad,TCD,27.555348833333333
Chile,CHL,9.541282583333334
China,CHN,7.606333433333334
Colombia,COL,24.522578083333332
Comoros,COM,25.345251166666667
Congo,COG,25.379705416666667
Cook Islands,COK,24.685709666666668
Costa Rica,CRI,23.41701275
Cote d'Ivoire,CIV,26.837761916666665
Croatia,HRV,12.811766758333333
Cuba,CUB,26.1664535
Cyprus,CYP,20.228836166666667
Czechia,CZE,9.439028866666666
Democratic Republic of Congo,COD,24.815182333333333
Denmark,DNK,10.080149475
Djibouti,DJI,28.654887416666668
Dominican Republic,DOM,24.86859425
East Timor,TLS,25.068025
Ecuador,ECU,21.277850083333334
Egypt,EGY,23.157832333333335
El Salvador,SLV,26.484449583333333
Equatorial Guinea,GNQ,24.583178166666666
Eritrea,ERI,27.003662249999998
Estonia,EST,8.269718555833334
Eswatini,SWZ,19.813792333333335
Ethiopia,ETH,23.758896083333333
Falkland Islands,FLK,7.1215179
Faroe Islands,FRO,7.249205191666666
Fiji,FJI,25.034735
Finland,FIN,4.7219345125
France,FRA,14.505009000000001
French Polynesia,PYF,25.553148916666665
Gabon,GAB,25.273505416666666
Gambia,GMB,28.35002791666667
Georgia,GEO,9.047076529166667
Germany,DEU,10.541353191666667
Ghana,GHA,27.961059083333332
Greece,GRC,15.573571583333333
Greenland,GRL,-18.371274833333334
Guatemala,GTM,23.8309875
Guinea,GIN,26.610099666666667
Guinea-Bissau,GNB,28.095321333333334
Guyana,GUY,25.67666325
Haiti,HTI,25.690557166666665
Heard Island and McDonald Islands,HMD,1.8763020816666667
Honduras,HND,24.247933083333333
Hong Kong,HKG,23.698111833333332
Hungary,HUN,11.952117225
Iceland,ISL,1.5840303226666668
India,IND,24.162792083333333
Indonesia,IDN,25.664236583333334
Iran,IRN,18.338884133333334
Iraq,IRQ,23.81710225
Ireland,IRL,10.014667316666667
Isle of Man,IMN,10.611328091666667
Israel,ISR,21.028465583333332
Italy,ITA,13.7081007
Jamaica,JAM,26.533597333333333
Japan,JPN,12.750499658333334
Jordan,JOR,20.331955833333332
Kazakhstan,KAZ,7.908974208333333
Kenya,KEN,25.45274425
Kiribati,KIR,26.4215495
Kosovo,OWID_KOS,11.1658168
Kuwait,KWT,26.944712916666667
Kyrgyzstan,KGZ,0.4458946750000001
Laos,LAO,23.813034916666666
Latvia,LVA,8.631308063333334
Lebanon,LBN,16.585842966666668
Lesotho,LSO,11.681600816666666
Liberia,LBR,25.763150333333332
Libya,LBY,22.584567666666665
Lithuania,LTU,9.121173525
Luxembourg,LUX,10.8718336
Madagascar,MDG,23.025716166666665
Malawi,MWI,22.54090625
Malaysia,MYS,26.0261845
Mali,MLI,29.239272416666665
Mauritania,MRT,28.483036
Mauritius,MUS,23.45030825
Mexico,MEX,21.578613583333333
Moldova,MDA,12.187962155833333
Mongolia,MNG,1.9065091095833337
Montenegro,MNE,10.558412725
Morocco,MAR,19.508270375
Mozambique,MOZ,24.426626083333332
Myanmar,MMR,24.13403375
Namibia,NAM,22.006461583333333
Nepal,NPL,12.969752966666666
Netherlands,NLD,11.576919
New Caledonia,NCL,22.875598333333333
New Zealand,NZL,10.975189675
Nicaragua,NIC,25.862964416666667
Niger,NER,27.928532083333334
Nigeria,NGA,27.260897166666666
North Korea,PRK,7.908316058333333
North Macedonia,MKD,11.785656983333334
Norway,NOR,1.9717461483333334
Oman,OMN,27.93969166666667
Pakistan,PAK,20.339789541666665
Palestine,PSE,21.046179833333333
Panama,PAN,25.281247166666667
Papua New Guinea,PNG,23.979529833333334
Paraguay,PRY,24.85593325
Peru,PER,19.365339916666667
Philippines,PHL,26.453860666666667
Poland,POL,10.0184901
Portugal,PRT,15.97945175
Puerto Rico,PRI,25.64099525
Qatar,QAT,28.092168083333334
Romania,ROU,11.07980295
Russia,RUS,-1.2760837116666668
Rwanda,RWA,20.225885583333334
Saint Helena,SHN,21.610026083333334
Saint Vincent and the Grenadines,VCT,26.706705916666667
Samoa,WSM,25.573870666666668
Sao Tome and Principe,STP,26.028401666666667
Saudi Arabia,SAU,26.549840583333335
Senegal,SEN,29.3760095
Serbia,SRB,11.669056361666668
Seychelles,SYC,26.94165458333333
Sierra Leone,SLE,26.401540833333332
Slovakia,SVK,9.500336275
Slovenia,SVN,10.832700316666667
Solomon Islands,SLB,26.5830355
Somalia,SOM,27.094904083333333
South Africa,ZAF,18.182199583333333
South Georgia and the South Sandwich Islands,SGS,-0.6883418916666667
South Korea,KOR,12.8532382
South Sudan,SSD,28.050374083333335
Spain,ESP,14.711415166666667
Sri Lanka,LKA,26.98958125
Sudan,SDN,27.215233583333333
Suriname,SUR,26.23335475
Sweden,SWE,5.4424187075
Switzerland,CHE,6.6846513750000005
Syria,SYR,20.064734708333333
Tajikistan,TJK,0.005644633333333353
Tanzania,TZA,22.933606583333333
Thailand,THA,27.004931666666668
Togo,TGO,27.425826166666667
Trinidad and Tobago,TTO,26.494140416666667
Tunisia,TUN,20.85957775
Turkey,TUR,12.792026705
Turkmenistan,TKM,16.462751808333334
Uganda,UGA,23.171006583333334
Ukraine,UKR,10.760084541666666
United Arab Emirates,ARE,28.58340108333333
United Kingdom,GBR,9.900754075
United States,USA,10.273097868333332
United States Virgin Islands,VIR,26.711263083333332
Uruguay,URY,17.60806983333333
Uzbekistan,UZB,13.465741079166667
Vanuatu,VUT,25.271980083333332
Venezuela,VEN,25.976387416666668
Vietnam,VNM,24.412868333333332
World,OWID_WRL,14.803611166666666
Yemen,YEM,25.859893583333335
Zambia,ZMB,22.167939166666667
Zimbabwe,ZWE,21.785587
